Step,Scaffold,SMILES,Custom alerts,QED Score,dockstream,raw_dockstream,total_score,ID
84.0,O=C1c2ccccc2C(=O)N1CCC1=Cc2ccccc2CCC1,O=C1c2ccccc2C(=O)N1CCC1=Cc2ccccc2CCC1,1.0,0.7995499968528748,0.999882698059082,-16.288999557495117,0.9633079767227173,Reinforcement learning demo_0
119.0,N=C1CC(=O)c2c3c(c4ccccc4c2C1=O)C(=O)CCC=C3,N=C1CC(=O)c2c(c3ccccc3c3c2cc(O)CCC3=O)C1=O,1.0,0.7764986157417297,0.9761082530021667,-12.57800006866455,0.9395901560783386,Reinforcement learning demo_1
78.0,N=C1CC(=O)c2c3c(c4ccccc4c2C1=O)CCCC3=N,N=C1CC(=O)c2c3c(c4ccccc4c2C1=O)CCCC3=N,1.0,0.7798032164573669,0.9703149795532227,-12.42300033569336,0.9356026649475098,Reinforcement learning demo_2
85.0,O=C1C=CC(=O)c2c1c1c(c3ccccc23)C(=O)C2=CC=CCC2=C1,O=C1C=CC(=O)c2c1c1c(c3ccccc23)C(=O)C2=CC=CCC2=C1,1.0,0.7280688285827637,0.9756680130958557,-12.5649995803833,0.92920982837677,Reinforcement learning demo_3
119.0,N=C1CCCc2c1c1c(c3ccccc3c2=O)C(=O)C=CC1=O,CC1=CC(=O)c2c(c3c(c(=O)c4ccccc24)CCCC3=N)C1=O,1.0,0.8102861046791077,0.9548224806785583,-12.119999885559082,0.9290560483932495,Reinforcement learning demo_4
99.0,N=C1CCCc2c1c1c(c3ccccc23)C(=O)C2=C(CCCC2=O)C1=O,N=C1CCCc2c1c1c(c3ccccc23)C(=O)C2=C(CCCC2=O)C1=O,1.0,0.7354434728622437,0.9712938070297241,-12.446999549865723,0.9272931218147278,Reinforcement learning demo_5
110.0,N=C1CC(=O)c2c3c(c4ccccc4c2C1=O)C(=O)CC=C3,N=C1CC(=O)c2c(c3cc(F)ccc3c3c2cc(O)CC3=O)C1=O,1.0,0.7776512503623962,0.9594807624816895,-12.199000358581543,0.9264621734619141,Reinforcement learning demo_6
108.0,N=C1CC(=O)c2c3c(c4ccccc4c2C1=O)C(=O)CCC3=N,N=C1CC(=O)c2c3c(c4ccccc4c2C1=O)C(=O)CCC3=N,1.0,0.782223105430603,0.9578848481178284,-12.170999526977539,0.9260821342468262,Reinforcement learning demo_7
95.0,N=C1CCCc2c1c1c(c3ccccc23)C(=O)C2=CC=CCC2=C1,N=C1CCCc2c1c1c(c3ccccc23)C(=O)C2=CC=CCC2=C1,1.0,0.7297022938728333,0.9708898067474365,-12.437000274658203,0.9257617592811584,Reinforcement learning demo_8
112.0,N=C1CC(=O)c2c3c(c(=O)c4ccccc4c2C1=O)C(=O)CCC3=N,N=C1CC(=O)c2c3c(c(=O)c4ccccc4c2C1=O)C(=O)CCC3=N,1.0,0.7697789072990417,0.9581741690635681,-12.175999641418457,0.92384272813797,Reinforcement learning demo_9
101.0,N=C1CC(=O)c2c3c(c4ccccc4c2C1=O)C(=O)CC=C3,N=C1CC(=O)c2c(c3ccccc3c3c2cc(O)CC3=O)C1=O,1.0,0.7813519835472107,0.9530520439147949,-12.092000007629395,0.9220156669616699,Reinforcement learning demo_10
