COX2,Actives,Inactives,,ERBB2,Actives,Inactives,,QPCT,Actives,Inactives
,COc1ccc(-c2c(-c3ccc(S(N)(=O)=O)cc3)[nH]c3ccccc23)cc1,COC(=O)c1sc2nc(C)nc(Sc3nnc4c(Cl)cc(Cl)cn34)c2c1C,,,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN1CCOCC1,CC=C(C)C(=O)OC1C(OC2OC(C)C(OC(C)=O)C(O)C2O)CC2(C)C(CCC(C)=CCO)C(C)=CCC2C1(C)C,,,COc1ccc(C2(C(=S)NCCCn3cncc3C)CC2)cc1OC,Cn1cc(C[NH2+]CCC[NH+](C)Cc2ccccc2)cn1
,COc1ccc(-c2c(-c3ccc(S(C)(=O)=O)cc3)[nH]c3ccccc23)cc1,N#Cc1ccnc(N2CCN(c3nc(-c4cccnc4)nc4sc5c(c34)CCC5)CC2)c1,,,C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1,CC(C)N1C(=O)C(=NNC(=O)CCCCCC(=O)NN=C2C(=O)N(C(C)C)c3ccc(Cl)cc32)c2cc(Cl)ccc21,,,COc1ccc(NC(=S)NCCCn2cncc2C)cc1OC,OCCOCC[NH2+]Cc1ccc(-c2ccccc2F)o1
,Fc1ccc(-c2[nH]c(-c3ccc(F)cc3)c3c2C2CCC3CC2)cc1,c1ccc(-n2nnnc2N2CCN(c3nc(-c4cccs4)nc4ccccc34)CC2)cc1,,,COc1ccccc1Cc1nc2ccc(-c3nn(C4CCC([NH+]5CCN(CC6CC6)CC5)CC4)c4ncnc(N)c34)cc2[nH]1,CCOC(=O)c1ccc(N(C(=O)Cn2nnc3ccccc32)C(C(=O)NC2CCCCC2)c2ccc(O)c(O)c2)cc1,,,Cc1cncn1CCCN1Cc2c(sc3c2CCCC3)NC1=S,OC(C[NH2+]Cc1ccccc1)COCc1ccco1
,CS(=O)(=O)c1ccc(-c2cc(C(F)(F)F)nc(NCc3ccc(F)cc3)n2)cc1,Cn1c(=CC(=O)C(C)(C)C)sc(=Cc2cc3ccccc3nc2N2CCOCC2)c1=O,,,CS(=O)(=O)CCNCc1nc(-c2ccc3ncnc(Nc4ccc(OCc5ccccc5)c(Cl)c4)c3c2)cs1,CCC1C(C)OC2(CC1OC1CC(O)C(O)C(C)O1)OC(C(C)CCCCCC(=O)OC)C(C)C(O)C2C,,,Cc1cncn1CCCN1Cc2ccccc2NC1=S,C=COCCC[NH2+]C1CCN(Cc2ccccc2)C1
,COc1ccc2c(c1)c(Cc1nc(-c3ccc(Br)cc3)cs1)c(C)n2C(=O)c1ccc(Cl)cc1,Cc1ccc(-n2nnn(CN3CCN(c4ncnc5c4cnn5C)CC3)c2=S)cc1C,,,CS(=O)(=O)CCNCc1ccc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2)o1,NS(=O)(=O)c1ccc(CCNC(=O)CCCn2c(SCc3c(F)cccc3Cl)nc3ccsc3c2=O)cc1,,,Cc1cncn1CCCN1Cc2cc(Cc3ccccc3)sc2NC1=S,CC(O)c1ccc(-c2ccc(CNCCC[NH+](C)C)o2)cc1
,CCOc1ccc(-c2nn3ncccc3c2-c2ccc(S(N)(=O)=O)cc2)cc1,COc1ccc(CSc2nnc3n4ncnc4c4c5c(sc4n23)CC(C)CC5)cc1,,,C#Cc1cccc(Nc2ncnc3ccc(OCCCC[NH2+]CCS(C)(=O)=O)cc23)c1,CCCCSc1nnc(NC(=O)CSc2n[nH]c(NN=Cc3c(C)nn(C(C)C)c3C)n2)s1,,,Cc1cncn1CCCNC(=C[N+](=O)[O-])Nc1ccc(C(F)(F)F)cc1,CCOc1cccc(C[NH2+]CC(C(C)C)N(C)C)c1O
,CS(=O)(=O)c1ccc(C2=C(c3ccc(Cl)cc3)CC3(CC3)C2)cc1,Clc1ccc(-c2nnc(Sc3ccc4nnnn4n3)n2-c2ccccc2)c(Cl)c1,,,CCc1c(C(=O)[O-])cn2ncnc(Nc3ccc4c(cnn4Cc4ccccc4)c3)c12,Cc1ccc(C(NC(=O)C(C)OC(=O)C(C)NC(=O)c2cccc([N+](=O)[O-])c2)c2cccs2)cc1,,,Cc1cncn1CCCNC(=C[N+](=O)[O-])Nc1cccc2ccccc12,COc1ccc2ccccc2c1CNCC[NH2+]CC(C)O
,COc1ccc(C2=C(c3ccc(S(N)(=O)=O)cc3)CC3(CC3)C2)cc1,Cc1c(C)c(C)c(S(=O)(=O)N2CCN(c3nccc(-c4ccco4)n3)CC2)c(C)c1C,,,CS(=O)(=O)CC[NH2+]CCCCOc1ccc2ncnc(Nc3ccc(F)c(Cl)c3)c2c1,COc1cc(CCNC(=O)C(NC(=O)c2ccc([N+](=O)[O-])cc2Cl)C(C)C)ccc1OC(F)F,,,Cc1cncn1CCCNC(=C[N+](=O)[O-])NC1CCCCC1,O=C(NCC[NH2+]CCCc1ccccc1)c1cccnc1
,NS(=O)(=O)c1ccc(C2=C(c3ccc(Cl)cc3)CC3(CC3)C2)cc1,CC1(C)CC(=O)C2=C(C1)Oc1ncn3nc(Cc4ccccc4)nc3c1C2c1ccccc1,,,CS(=O)(=O)CC[NH2+]CCCCOc1ccc2ncnc(Nc3ccc4c(cnn4Cc4cccc(F)c4)c3)c2c1,NC(=O)c1ccc(COC(=O)Cn2c(Cc3cccc4ccccc34)nc3ccccc32)c([N+](=O)[O-])c1,,,COc1ccc(NC(=S)NCCCn2ccnc2)cc1OC,C1=CCC(C[NH2+]CCCOCC2CCCO2)CC1
