Step,Scaffold,SMILES,Custom alerts,QED Score,dockstream,raw_dockstream,total_score,ID,groups
84,O=C1c2ccccc2C(=O)N1CCC1=Cc2ccccc2CCC1,O=C1c2ccccc2C(=O)N1CCC1=Cc2ccccc2CCC1,1,0.799549996852875,0.999882698059082,-16.2889995574951,0.963307976722717,Reinforcement learning demo_0,Mol_1
119,N=C1CC(=O)c2c3c(c4ccccc4c2C1=O)C(=O)CCC=C3,N=C1CC(=O)c2c(c3ccccc3c3c2cc(O)CCC3=O)C1=O,1,0.77649861574173,0.976108253002167,-12.5780000686646,0.939590156078339,Reinforcement learning demo_1,Mol_1
78,N=C1CC(=O)c2c3c(c4ccccc4c2C1=O)CCCC3=N,N=C1CC(=O)c2c3c(c4ccccc4c2C1=O)CCCC3=N,1,0.779803216457367,0.970314979553223,-12.4230003356934,0.93560266494751,Reinforcement learning demo_2,Mol_1
85,O=C1C=CC(=O)c2c1c1c(c3ccccc23)C(=O)C2=CC=CCC2=C1,O=C1C=CC(=O)c2c1c1c(c3ccccc23)C(=O)C2=CC=CCC2=C1,1,0.728068828582764,0.975668013095856,-12.5649995803833,0.92920982837677,Reinforcement learning demo_3,Mol_1
119,N=C1CCCc2c1c1c(c3ccccc3c2=O)C(=O)C=CC1=O,CC1=CC(=O)c2c(c3c(c(=O)c4ccccc24)CCCC3=N)C1=O,1,0.810286104679108,0.954822480678558,-12.1199998855591,0.92905604839325,Reinforcement learning demo_4,Mol_1
99,N=C1CCCc2c1c1c(c3ccccc23)C(=O)C2=C(CCCC2=O)C1=O,N=C1CCCc2c1c1c(c3ccccc23)C(=O)C2=C(CCCC2=O)C1=O,1,0.735443472862244,0.971293807029724,-12.4469995498657,0.927293121814728,Reinforcement learning demo_5,Mol_1
110,N=C1CC(=O)c2c3c(c4ccccc4c2C1=O)C(=O)CC=C3,N=C1CC(=O)c2c(c3cc(F)ccc3c3c2cc(O)CC3=O)C1=O,1,0.777651250362396,0.959480762481689,-12.1990003585815,0.926462173461914,Reinforcement learning demo_6,Mol_1
108,N=C1CC(=O)c2c3c(c4ccccc4c2C1=O)C(=O)CCC3=N,N=C1CC(=O)c2c3c(c4ccccc4c2C1=O)C(=O)CCC3=N,1,0.782223105430603,0.957884848117828,-12.1709995269775,0.926082134246826,Reinforcement learning demo_7,Mol_1
95,N=C1CCCc2c1c1c(c3ccccc23)C(=O)C2=CC=CCC2=C1,N=C1CCCc2c1c1c(c3ccccc23)C(=O)C2=CC=CCC2=C1,1,0.729702293872833,0.970889806747436,-12.4370002746582,0.925761759281158,Reinforcement learning demo_8,Mol_1
112,N=C1CC(=O)c2c3c(c(=O)c4ccccc4c2C1=O)C(=O)CCC3=N,N=C1CC(=O)c2c3c(c(=O)c4ccccc4c2C1=O)C(=O)CCC3=N,1,0.769778907299042,0.958174169063568,-12.1759996414185,0.92384272813797,Reinforcement learning demo_9,Mol_1
101,N=C1CC(=O)c2c3c(c4ccccc4c2C1=O)C(=O)CC=C3,N=C1CC(=O)c2c(c3ccccc3c3c2cc(O)CC3=O)C1=O,1,0.781351983547211,0.953052043914795,-12.0920000076294,0.92201566696167,Reinforcement learning demo_10,Mol_1
79,O=C1C=CC(=O)c2c1c1c(c3ccccc23)C(=O)CC=C1,O=C1C=CC(=O)c2c1c1cc(O)CC(=O)c1c1ccccc21,1,0.807996332645416,0.945364594459534,-11.9809999465942,0.920946419239044,Reinforcement learning demo_11,Mol_1
86,O=C1C=CC(=O)C2=C3CCC(=O)C3=C3C2=C1CCc1ccccc13,CC1=CC(=O)c2c3c(c4c5ccccc5CCc(c24)C1=O)C(=O)CC3,1,0.732758939266205,0.962862372398376,-12.2620000839233,0.920019507408142,Reinforcement learning demo_12,Mol_1
22,O=C(N=c1cccc[nH]1)C1c2ccccc2Oc2ccccc21,Cc1ccc2c(c1)C(C(=O)N=c1cccc[nH]1)c1ccccc1O2,1,0.744205892086029,0.956708312034607,-12.1510000228882,0.917483925819397,Reinforcement learning demo_13,Mol_1
85,O=C1C=CC(=O)c2c1c1ccccc1c1c(=O)ccccc21,CC1=CC(=O)c2c(c3cc(O)C=CC(=O)c3c3ccccc23)C1=O,1,0.689902186393738,0.970849096775055,-12.4359998703003,0.917116224765778,Reinforcement learning demo_14,Mol_1
119,O=C1CCCc2c1c1c(c3ccccc23)C(=O)C2=CC=CCC2=C1,O=C1CCCc2c1c1c(c3ccccc23)C(=O)C2=CC=CCC2=C1,1,0.698316156864166,0.967362701892853,-12.3549995422363,0.916220009326935,Reinforcement learning demo_15,Mol_1
119,N=C1CC2=C(C1=O)c1ccccc1-c1cccc3cccc2c13,N=C1Cc2c(c3ccccc3c3cccc4cc(O)cc2c43)C1=O,1,0.644952118396759,0.978317737579346,-12.6470003128052,0.912685573101044,Reinforcement learning demo_16,Mol_1
79,O=C1NCC2=C1c1ccccc1-c1cccc3cccc2c13,CN1Cc2c(c3ccccc3c3cccc4cc(O)cc2c43)C1=O,1,0.683416366577148,0.966627836227417,-12.33899974823,0.912354588508606,Reinforcement learning demo_17,Mol_1
64,O=C1CCCc2c1c(=Nc1ccccc1)[nH]c1ccccc21,O=C1CCCc2c1c(=Nc1cccc(F)c1)[nH]c1ccccc21,1,0.72378408908844,0.954884469509125,-12.121000289917,0.911787986755371,Reinforcement learning demo_18,Mol_1
106,N=c1c2ccccc2c2c(c3ccccc13)C(=O)C=CC2=O,CC1=CC(=O)c2c(c3ccccc3c(=N)c3ccccc23)C1=O,1,0.686148345470428,0.963474988937378,-12.2740001678467,0.910479187965393,Reinforcement learning demo_19,Mol_1
106,N=C1CC(=O)c2c(c3c(c4ccccc24)C(=O)CCC3)C1=O,CC1CC(=O)c2c(c3c(c4ccccc24)C(=O)CC(=N)C3=O)C1,1,0.810252785682678,0.929112732410431,-11.7880001068115,0.908155918121338,Reinforcement learning demo_20,Mol_1
102,O=C1CC=Cc2c1c1c(c3ccccc23)C(=O)CC=C1,CC1=CCC(=O)c2c1c1c(c3ccccc23)C(C)=CCC1=O,1,0.696186900138855,0.957593619823456,-12.1660003662109,0.908040761947632,Reinforcement learning demo_21,Mol_1
89,O=C1C=CC=NC1=NC(=O)c1cccc2ccc3c(c12)CCC3,O=C(N=c1ncccc1=O)c1cccc2ccc3c(c12)CCC3,1,0.812502026557922,0.928062975406647,-11.7770004272461,0.90772008895874,Reinforcement learning demo_22,Mol_1
107,N=C1CC(=O)c2c(c3c(c4ccccc24)C(=O)CCC3)C1=O,N=C1CC(=O)c2c(c3c(c4ccccc24)C(=O)CCC3)C1=O,1,0.809779524803162,0.926608443260193,-11.7620000839233,0.906027436256409,Reinforcement learning demo_23,Mol_1
112,N=c1[nH]c2c(c(-c3ccccc3)c1C(=O)N=c1cccc[nH]1)CCC2,Cc1cccc(-c2c3c([nH]c(=N)c2C(=O)N=c2cccc[nH]2)CCC3)c1,1,0.6557457447052,0.966534852981567,-12.3369998931885,0.906018733978272,Reinforcement learning demo_24,Mol_1
97,O=C1C=CC(=O)c2c1c1c(c3ccccc23)C(=O)CCC1,CC1CC(=O)c2c(c3c(c4ccccc24)C(=O)C=CC3=O)C1,1,0.74536120891571,0.94168496131897,-11.9329996109009,0.905696094036102,Reinforcement learning demo_25,Mol_1
115,O=C(N=c1cccc[nH]1)c1cnc2ccccc2c1-c1ccccc1,Cc1cccc(-c2c(C(=O)N=c3[nH]cccc3C)cnc3ccccc23)c1,1,0.572977662086487,0.99191415309906,-13.3420000076294,0.905214130878448,Reinforcement learning demo_26,Mol_1
89,O=C1C=CC(=O)c2c1c1c(c3ccccc23)C(=O)CC1,Cc1cccc2c3c(c4c(c12)C(=O)C=CC4=O)CCC3=O,1,0.742037117481232,0.94168496131897,-11.9329996109009,0.905021667480469,Reinforcement learning demo_27,Mol_1
